,연번,상호명,영업소소재지(도로명),게임기종류,게임기수,업종명,데이터기준일자,lat,lon
124,125,카카오PC방,"인천광역시 남동구 앵고개로948번길 54, 굿모닝타워 108호 (논현동)",PC,8,인터넷컴퓨터게임시설제공업,2024-02-22,126.736525267779,37.4004064212038
125,126,물라PC 카지노게임장슬롯홀덤,"인천광역시 남동구 백범로 411, 2층 (간석동)",PC,28,인터넷컴퓨터게임시설제공업,2024-02-22,126.705401468293,37.4672764440386
126,127,뉴욕PC클럽,"인천광역시 남동구 포구로 17, 2층 (논현동)",PC,9,인터넷컴퓨터게임시설제공업,2024-02-22,126.738790099138,37.4006180498059
127,128,욜로PC방 인천논현점,"인천광역시 남동구 논고개로123번길 35, 칼리오페 A308호 (논현동)",PC,91,인터넷컴퓨터게임시설제공업,2024-02-22,126.722065821029,37.4015165296659
128,129,고래PC,"인천광역시 남동구 석산로183번길 75, 101호 (간석동)",PC,6,인터넷컴퓨터게임시설제공업,2024-02-22,126.712096533553,37.464109412641
129,130,에이스PC,"인천광역시 남동구 용천로153번길 68, 동명뉴캐슬 101호 (간석동)",PC,6,인터넷컴퓨터게임시설제공업,2024-02-22,126.711143736394,37.4649676407301
130,131,마카오PC,"인천광역시 남동구 남동서로236번길 30, 논현2차푸르지오시티 126호 (논현동)",PC,8,인터넷컴퓨터게임시설제공업,2024-02-22,126.695111543923,37.4095689846042
131,132,에이스 PC,"인천광역시 남동구 구월남로 331, 103호 (만수동)",PC,25,인터넷컴퓨터게임시설제공업,2024-02-22,126.726552000753,37.4520135414072
132,133,로얄PC,"인천광역시 남동구 하촌로19번길 5, 202호 (만수동)",PC,7,인터넷컴퓨터게임시설제공업,2024-02-22,126.730773158389,37.4499400051426
133,134,카지노 PC,"인천광역시 남동구 호구포로 212, 대양프라자빌딩 107호 (논현동)",PC,9,인터넷컴퓨터게임시설제공업,2024-02-22,126.709902313721,37.4017451839826
134,135,홈런 PC,"인천광역시 남동구 앵고개로847번길 80-9, 뉴가산시티 106호 (논현동)",PC,5,인터넷컴퓨터게임시설제공업,2024-02-22,126.723502793099,37.3992971759603
135,136,럭셔리 PC,"인천광역시 남동구 문화서로4번길 47-2, 1층 (구월동)",PC,8,인터넷컴퓨터게임시설제공업,2024-02-22,126.697727593454,37.4447660629818
136,137,땁 PC,"인천광역시 남동구 선수촌공원로23번길 10-21, 누리자타운 119호 (구월동)",PC,6,인터넷컴퓨터게임시설제공업,2024-02-22,126.708607016806,37.4419995288843
137,138,로또 PC,"인천광역시 남동구 경원대로 952, 1층 1호 (간석동)",PC,6,인터넷컴퓨터게임시설제공업,2024-02-22,126.69050849,37.4676260800678
138,139,제우스PC존,"인천광역시 남동구 구월말로 21, 102호 (구월동)",PC,5,인터넷컴퓨터게임시설제공업,2024-02-22,126.724374148203,37.4509396132455
139,140,보물섬 PC,"인천광역시 남동구 문화로115번길 53, 1층일부호 (구월동)",PC,4,인터넷컴퓨터게임시설제공업,2024-02-22,126.696450448552,37.449536795956
140,141,대림PC게임랜드,"인천광역시 남동구 남동대로922번길 24, 3층 (간석동)",PC,80,인터넷컴퓨터게임시설제공업,2024-02-22,126.709618920389,37.4646343147191
141,142,에이스 PC,"인천광역시 남동구 하촌서로 10, 1층 일부호 (만수동)",PC,6,인터넷컴퓨터게임시설제공업,2024-02-22,126.729751564788,37.4495171716452
142,143,판도라 PC,"인천광역시 남동구 남동대로922번길 32, 1층 101호 (간석동, 대준 블루온)",PC,6,인터넷컴퓨터게임시설제공업,2024-02-22,126.709957256572,37.4645707235222
143,144,행운 PC,"인천광역시 남동구 구월말로 64, 1층 일부호 (만수동)",PC,6,인터넷컴퓨터게임시설제공업,2024-02-22,126.725107920699,37.4545627542179
144,145,제우스 PC,"인천광역시 남동구 문화서로4번길 37, 2층 (구월동)",PC,8,인터넷컴퓨터게임시설제공업,2024-02-22,126.697145577403,37.4449429732894
145,146,통큰 PC,"인천광역시 남동구 인주대로522번길 49-22, 1층 (구월동)",PC,6,인터넷컴퓨터게임시설제공업,2024-02-22,126.695638978163,37.4492666583744
146,147,747PC 카페,"인천광역시 남동구 논고개로 61, 라피에스타 165,167,169호 (논현동)",PC,6,인터넷컴퓨터게임시설제공업,2024-02-22,126.727520375664,37.3975373516636
147,148,싹쓰리 PC,"인천광역시 남동구 장승남로 70-11, 현대아파트상가 106호 (만수동)",PC,5,인터넷컴퓨터게임시설제공업,2024-02-22,126.74028329514,37.4428737467444
148,149,아지트 PC,"인천광역시 남동구 백범로 325, 2층 (간석동)",PC,9,인터넷컴퓨터게임시설제공업,2024-02-22,126.713907184437,37.463828370557
149,150,보스PC,"인천광역시 남동구 서창남순환로216번길 35, 청수타워 106호 (서창동)",PC,8,인터넷컴퓨터게임시설제공업,2024-02-22,126.749853064529,37.4229179135167
150,151,챔프PC방,"인천광역시 남동구 하촌서로 14, 1층 일부호 (만수동)",PC,4,인터넷컴퓨터게임시설제공업,2024-02-22,126.729763178734,37.4498386789907
151,152,떳다 PC,"인천광역시 남동구 남동대로 924, 1층 9호 (간석동)",PC,5,인터넷컴퓨터게임시설제공업,2024-02-22,126.708491685298,37.464906797462
